atributo,importancia_permutacao_auc,desvio
valor_total_periodo,0.3112155720084142,0.013871649905947657
media_notas,0.15959056888100254,0.005727602132014268
total_parcelas,0.06956114234246029,0.004979959409347737
Grau Acadêmico,0.0582903354317464,0.004982680151018879
tempo_de_curso,0.037449456215273715,0.003965976108123406
dias_desde_ultimo_contato,0.02141824753319379,0.0020541275166563945
Idade,0.020281601773675505,0.002714238799653068
total_semestres,0.018737911350868663,0.0027253902435511075
pct_parcelas_em_aberto,0.015133785861789595,0.003662524993762915
Forma de Ingresso,0.007579498805809837,0.0035956259348767935
Estado Civil,0.007425149009139753,0.001771098933312527
Turno,0.0029871112146097056,0.000539187135683751
tendencia_notas,0.0028464258014353483,0.0008114249319252856
atraso_medio_dias,0.002694385478032113,0.0010533901701964426
pct_parcelas_acordo,0.0015254070927773534,0.0008629469524890856
mora_sp_capital,0.001148385581958422,0.0002489229084832845
Sexo,0.0007956135404417752,0.0009013542348974986
tendencia_assiduidade,0.0007754056493565198,0.0003832754524203276
pct_reprovacao,0.0006351051483933113,0.0009326217153110014
media_assiduidade,0.0005404167444509778,0.00042305975863495275
tem_bolsa,0.00036470432006223684,0.00032191239405627306
total_contatos,-0.00026501205737499144,0.000187857862705329
