Forma de Ingresso,Grau Acadêmico,Turno,tempo_de_curso,Idade,Estado Civil,Sexo,mora_sp_capital,total_parcelas,pct_parcelas_em_aberto,pct_parcelas_acordo,atraso_medio_dias,tem_bolsa,valor_total_periodo,media_notas,media_assiduidade,pct_reprovacao,tendencia_notas,tendencia_assiduidade,total_semestres,total_contatos,dias_desde_ultimo_contato,evadiu_real,score_risco,faixa_risco
Matricula Inicial,Pós-Graduação,Noite,0.0,47.0,Solteiro,Feminino,1.0,19.0,0.0526315789473684,0.0,-0.5555555555555556,True,10273.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,836.0,0,0.8209245511350536,Vermelho
Matricula Inicial,Pós-Graduação,Noite,0.0,49.0,Nao informado,Feminino,1.0,18.0,0.0,0.0,-4.0,True,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7338438251633304,Vermelho
Matricula Inicial,Pós-Graduação,Noite,0.0,29.0,Nao informado,Feminino,1.0,18.0,0.0,0.0,-1.5555555555555556,True,26481.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.27673771775925193,Verde
Enem,Bacharelado,Manhã,1.0,19.0,Solteiro,Feminino,0.0,12.0,0.0,0.0,-2.25,True,20634.66,70.83333333333333,96.472,0.1666666666666666,0.0,0.0,1.0,2.0,198.0,0,0.424102864354911,Amarelo
Vestibular,Bacharelado,Manhã,2.0,23.0,Solteiro,Feminino,0.0,37.0,0.027027027027027,0.0,-3.333333333333333,True,25849.99,49.66666666666666,97.214,0.0,0.0,0.0,2.0,9.0,1229.0,1,0.8824368386115747,Vermelho
Vestibular,Bacharelado,Manhã,5.0,21.0,Nao informado,Masculino,1.0,44.0,0.0454545454545454,0.0,-1.4242424242424243,True,71528.64,70.10909090909092,92.1293103448276,0.0,4.174285714285716,-4.286452380952383,5.0,8.0,117.0,0,0.11947687601412123,Verde
Enem,Bacharelado,Manhã,1.0,19.0,Nao informado,Masculino,0.0,12.0,0.0,0.0,-12.0,True,15994.66,73.78,98.096,0.0,0.0,0.0,1.0,11.0,89.0,0,0.3202001063812092,Verde
Transferência,Bacharelado,Manhã,2.0,34.0,Nao informado,Masculino,1.0,26.0,0.037037037037037,0.037037037037037,0.6428571428571429,True,26781.65,87.4,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.15907766644166918,Verde
Matricula Inicial,Pós-Graduação,Noite,0.0,53.0,Solteiro,Masculino,0.0,18.0,0.0,0.0,1.0,True,22903.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7021043104123318,Vermelho
Enem,Bacharelado,Manhã,7.0,31.0,Solteiro,Masculino,0.0,17.0,0.0,0.0,-61.41176470588236,True,30588.67,96.58333333333331,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0933341510877658,Verde
Matricula Inicial,Pós-Graduação,Noite,0.0,50.0,Nao informado,Masculino,0.0,18.0,0.0555555555555555,0.0,0.0,False,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7208473388887228,Vermelho
Matricula Inicial,Pós-Graduação,Noite,0.0,25.0,Nao informado,Masculino,1.0,18.0,0.0,0.0,-2.611111111111111,True,26481.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2898081348626065,Verde
Enem,Bacharelado,Manhã,7.0,28.0,Solteiro,Feminino,1.0,35.0,0.0,0.0,-1.6857142857142855,True,41209.0,81.8417142857143,98.05076923076922,0.0,4.549829545454557,-0.699238095238087,4.0,5.0,1461.0,0,0.5337615542490073,Amarelo
Matricula Inicial,Pós-Graduação,Noite,0.0,30.0,Nao informado,Feminino,0.0,18.0,0.0555555555555555,0.0,0.0,False,1370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5119649749215354,Amarelo
Matricula Inicial,Pós-Graduação,Noite,0.0,35.0,Nao informado,Feminino,1.0,18.0,0.0,0.0,-0.3888888888888889,True,11502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5070630384306232,Amarelo
Vestibular,Bacharelado,Manhã,8.0,21.0,Solteiro,Feminino,1.0,103.0,0.0388349514563106,0.0776699029126213,3.481012658227848,True,120854.27,52.628865979381445,83.92983870967743,0.2268041237113402,34.263492063492066,-16.626000000000005,9.0,32.0,93.0,0,0.3488094886269135,Verde
Vestibular,Bacharelado,Manhã,1.0,19.0,Nao informado,Masculino,0.0,35.0,0.0285714285714285,0.0285714285714285,1.1428571428571428,True,42968.18,84.22,93.93210526315788,0.1,-13.400000000000006,-0.1777500000000031,3.0,12.0,278.0,0,0.35887121454649207,Amarelo
Matricula Inicial,Pós-Graduação,Noite,0.0,30.0,Nao informado,Feminino,1.0,18.0,0.0,0.0,6.5,True,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6038337085257982,Amarelo
Enem,Bacharelado,Manhã,8.0,30.0,Solteiro,Masculino,0.0,44.0,0.0,0.0227272727272727,12.318181818181818,True,53188.22,76.05105263157895,97.92176470588235,0.0,3.652499999999989,1.549666666666667,4.0,1.0,1418.0,0,0.5955986095965824,Amarelo
Enem,Bacharelado,Manhã,0.0,31.0,Solteiro,Masculino,1.0,11.0,0.5454545454545454,0.0,0.0,True,20453.0,67.36,100.0,0.2,0.0,0.0,1.0,0.0,0.0,0,0.13705371038785089,Verde
Enem,Bacharelado,Manhã,7.0,28.0,Solteiro,Masculino,1.0,12.0,0.0,0.0,-5.666666666666667,True,21592.0,83.96416666666667,98.522,0.0,0.0,0.0,2.0,0.0,0.0,0,0.19176144125936218,Verde
